Thickness of SUS flat deg [mm]1	138Sn 50+	Thickness of SUS flat deg [mm]2	138Sn 50+	Thickness of SUS flat deg [mm]3	138Sn 50+	Thickness of SUS flat deg [mm]4	138Sn 49+	Thickness of SUS flat deg [mm]5	138Sn 49+	Thickness of SUS flat deg [mm]6	138Sn 49+	Thickness of SUS flat deg [mm]7	138Sn 48+	Thickness of SUS flat deg [mm]8	138Sn 48+	Thickness of SUS flat deg [mm]9	138Sn 48+	Thickness of SUS flat deg [mm]10	138Sn 50+	Thickness of SUS flat deg [mm]11	138Sn 50+	Thickness of SUS flat deg [mm]12	138Sn 50+	Thickness of SUS flat deg [mm]13	138Sn 49+	Thickness of SUS flat deg [mm]14	138Sn 49+	Thickness of SUS flat deg [mm]15	138Sn 49+	Thickness of SUS flat deg [mm]16	138Sn 48+	Thickness of SUS flat deg [mm]17	138Sn 48+	Thickness of SUS flat deg [mm]18	138Sn 50+	Thickness of SUS flat deg [mm]19	138Sn 50+	Thickness of SUS flat deg [mm]20	138Sn 50+	Thickness of SUS flat deg [mm]21	138Sn 49+	Thickness of SUS flat deg [mm]22	138Sn 49+	Thickness of SUS flat deg [mm]23	138Sn 48+	Thickness of SUS flat deg [mm]24	138Sn 50+	Thickness of SUS flat deg [mm]25	138Sn 49+	Thickness of SUS flat deg [mm]26	138Sn 50+	Thickness of SUS flat deg [mm]27	138Te 52+	Thickness of SUS flat deg [mm]28	140I 53+	Thickness of SUS flat deg [mm]29	139I 53+	Thickness of SUS flat deg [mm]30	141I 53+	Thickness of SUS flat deg [mm]31	139Te 52+	Thickness of SUS flat deg [mm]32	141Te 52+	Thickness of SUS flat deg [mm]33	142Xe 54+	Thickness of SUS flat deg [mm]34	140I 52+	Thickness of SUS flat deg [mm]35	136Sn 50+	Thickness of SUS flat deg [mm]36	138Te 51+	Thickness of SUS flat deg [mm]37	139Sb 51+	Thickness of SUS flat deg [mm]38	139I 52+	Thickness of SUS flat deg [mm]39	143Xe 54+	Thickness of SUS flat deg [mm]40	141I 52+	Thickness of SUS flat deg [mm]41	140I 53+	Thickness of SUS flat deg [mm]42	142Xe 53+	Thickness of SUS flat deg [mm]43	139Te 51+	Thickness of SUS flat deg [mm]44	138Te 52+	Thickness of SUS flat deg [mm]45	137Sb 51+	Thickness of SUS flat deg [mm]46	141Te 51+	Thickness of SUS flat deg [mm]47	142I 53+	Thickness of SUS flat deg [mm]48	140Te 52+	Thickness of SUS flat deg [mm]49	132Sn 50+	Thickness of SUS flat deg [mm]50	141Xe 54+	
2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	2.016667	0         	
2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	2.033333	0         	
2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	2.050000	0         	
2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	2.066667	0         	
2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	2.083333	0         	
2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	2.100000	0         	
2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	2.116667	0         	
2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	2.133333	0         	
2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	2.150000	0         	
2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	2.166667	0         	
2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	2.183333	0         	
2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	2.200000	0         	
2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	2.216667	0         	
2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	2.233333	0         	
